Link,Location Name,Host Name,Address,Phone Number,Review Count
https://www.splacer.co/venue/lower-east-side-loft-for-events,Lower East Side Loft for eventsNew York | ManhattanStarting From$100per hour,Kristina,New York | Manhattan,,10
https://www.splacer.co/venue/chinatown-designer-s-loft,Chinatown Designer's LoftNew York | Lower East SideStarting From$115per hour,Jenni,New York | Lower East Side,,9
https://www.splacer.co/venue/flatiron-loft-with-beautiful-kitchens,Flatiron loft with beautiful kitchens!New York | ManhattanStarting From$500per hour,Travis,New York | Manhattan,,9
https://www.splacer.co/venue/sun-soaked-classic-brooklyn-townhouse,Sun Soaked Classic Brooklyn TownhouseNew York | BushwickStarting From$300per hour,Gina,New York | Bushwick,,8
https://www.splacer.co/venue/a-legendary-rock-palace,A legendary rock palace!Port Chester | RyeStarting From$1000per hour,Emily,Port Chester | Rye,,0
https://www.splacer.co/venue/beautiful-space-and-views-hudson-valley,Beautiful Space and Views - Hudson Valley GardinerStarting From$500per hour,Liz,Gardiner,,0
https://www.splacer.co/venue/spacious-modern-cocktail-tasting-room,"Spacious, Modern Cocktail Tasting Room New York | East WilliamsburgStarting From$250per hour",Roxane,New York | East Williamsburg,,0
https://www.splacer.co/venue/midtown-cyclorama-studio,Midtown Cyclorama StudioNew York | MidtownStarting From$100per hour,James,New York | Midtown,,8
https://www.splacer.co/venue/soho-fully-equipped-spacious-photo-studio,SoHo Fully Equipped Spacious Photo StudioNew York | Lower ManhattanStarting From$96per hour,Arzu,New York | Lower Manhattan,,7
https://www.splacer.co/venue/midtown-white-space,Midtown White SpaceNew York | MidtownStarting From$115per hour,David,New York | Midtown,,7
https://www.splacer.co/venue/sun-drenched-east-village-2000-sq-ft-loft,Sun-drenched East Village 2000 sq/ft loftNew York | ManhattanStarting From$225per hour,Eduard,New York | Manhattan,,7
https://www.splacer.co/venue/designer-soho-loft-space,Designer Soho Loft SpaceNew York | Lower ManhattanStarting From$350per hour,Arzu,New York | Lower Manhattan,,5
https://www.splacer.co/venue/brand-new-nolita-rooftop-with-view,Brand New Nolita Rooftop with ViewNew York | ManhattanStarting From$350per hour,Arzu,New York | Manhattan,,6
https://www.splacer.co/venue/urban-loft-event-and-meeting-spaces,Urban Loft Event and Meeting SpacesNew York | MidtownStarting From$200per hour,Karen,New York | Midtown,,6
https://www.splacer.co/venue/brooklyn-gallery,Brooklyn GalleryNew York | Bedford-StuyvesantStarting From$100per hour,Nyssa,New York | Bedford-Stuyvesant,,6
https://www.splacer.co/venue/bright-daylight-studio-with-kitchen,Bright Daylight Studio with KitchenNew York | Prospect HeightsStarting From$125per hour,Robert,New York | Prospect Heights,,6
https://www.splacer.co/venue/bright-sunny-lower-manhattan-event-space,Bright & Sunny Lower Manhattan Event SpaceNew York | Lower ManhattanStarting From$225per hour,Jean,New York | Lower Manhattan,,5
https://www.splacer.co/venue/multi-media-photo-video-studio,Multi Media Photo/Video StudioNew York | MidtownStarting From$75per hour,Daphne,New York | Midtown,,4
https://www.splacer.co/venue/restored-1865-art-gallery-midtown-east,"Restored 1865 Art Gallery, Midtown EastNew York | ManhattanStarting From$500per hour",Steven,New York | Manhattan,,5
https://www.splacer.co/venue/studio-520-800sf,Studio 520 - 800sfNew York | GreenpointStarting From$85per hour,Rebecca,New York | Greenpoint,,4
https://www.splacer.co/venue/1855-italianate-villa-mansion,1855  Italianate  Villa  MansionNew York | New DorpStarting From$450per hour,Robert,New York | New Dorp,,3
https://www.splacer.co/venue/big-room-recording-production-studio,BIG ROOM Recording/Production StudioNew York | WilliamsburgStarting From$225per hour,Mona,New York | Williamsburg,,4
https://www.splacer.co/venue/exclusive-chelsea-gallery-curb-appeal,Exclusive Chelsea Gallery & Curb AppealNew York | ManhattanStarting From$2187per hour,Ashwin,New York | Manhattan,,4
https://www.splacer.co/venue/spacious-industrial-loft-with-beautiful-na,Spacious Industrial Loft with Beautiful NaNew York | Red HookStarting From$85per hour,Roman,New York | Red Hook,,4
https://www.splacer.co/venue/bright-modern-conference-room-in-midtown,Bright & Modern Conference Room in MidtownNew York | ManhattanStarting From$70per hour,Angel,New York | Manhattan,,4
https://www.splacer.co/venue/modern-restaurant-below-the-highline,Modern restaurant below the HighlineNew York | ManhattanStarting From$200per hour,Alex,New York | Manhattan,,4
https://www.splacer.co/venue/naturally-lit-industrial-private-studio,"Naturally lit, Industrial, private studio New York | Columbia Street Waterfront DistrictStarting From$100per hour",Waterfront,New York | Columbia Street Waterfront District,,4
https://www.splacer.co/venue/soho-multi-use-conference-room,SoHo Multi-Use Conference RoomNew York | Lower ManhattanStarting From$128per hour,Arzu,New York | Lower Manhattan,,3
https://www.splacer.co/venue/bright-private-spacious-workspace,"Bright, Private, Spacious WorkspaceNew York | Sheepshead BayStarting From$40per hour",JM,New York | Sheepshead Bay,,3
https://www.splacer.co/venue/large-apartment-in-the-east-village,Large Apartment in the East VillageNew York | ManhattanStarting From$100per hour,Adonis,New York | Manhattan,,3
https://www.splacer.co/venue/downtown-loft-w-floor-to-ceiling-windows,Downtown Loft w/ Floor to Ceiling WindowsNew York | ManhattanStarting From$99per hour,Serge,New York | Manhattan,,3
https://www.splacer.co/venue/serene-and-spacious-west-village-venue,Serene and Spacious West Village VenueNew York | ManhattanStarting From$300per hour,Paola,New York | Manhattan,,3
https://www.splacer.co/venue/sunny-seaport-loft,Sunny Seaport LoftNew York | Lower ManhattanStarting From$140per hour,Roberto,New York | Lower Manhattan,,3
https://www.splacer.co/venue/luxurious-private-bar-and-lounge,Luxurious Private Bar and LoungeNew York | ManhattanStarting From$350per hour,Cassidy,New York | Manhattan,,2
https://www.splacer.co/venue/ukraine-vodka-bar-downtown-lower-east-side,Ukraine Vodka Bar Downtown Lower East SideNew York | East VillageStarting From$288per hour,Lori,New York | East Village,,2
https://www.splacer.co/venue/eclectic-museum-space-with-back-yard,Eclectic Museum Space with Back YardNew York | WilliamsburgStarting From$100per hour,Beth,New York | Williamsburg,,2
https://www.splacer.co/venue/apartment-with-office-studio-led-lights,Apartment with office/studio & LED lightsNew York | East WilliamsburgStarting From$50per hour,Wilber,New York | East Williamsburg,,2
https://www.splacer.co/venue/a-b-production-studio,A&B Production  Studio.New York | ManhattanStarting From$85per hour,Anna,New York | Manhattan,,2
https://www.splacer.co/venue/crisp-white-brick-gallery-with-roll-up,Crisp White-brick Gallery with Roll-upNew York | WilliamsburgStarting From$100per hour,Justin,New York | Williamsburg,,2
https://www.splacer.co/venue/fully-equipped-chelsea-photo-studio,Fully-Equipped Chelsea Photo StudioNew York | MidtownStarting From$50per hour,Anthony,New York | Midtown,,2
https://www.splacer.co/venue/classic-elegant-space-for-small-to-medium,"Classic, elegant space for small to mediumNew York | ManhattanStarting From$250per hour",jamie,New York | Manhattan,,2
https://www.splacer.co/venue/art-gallery-event-pop-up-in-dumbo,"Art Gallery, Event, & Pop-up in DumboNew York | DumboStarting From$375per hour",UNY,New York | Dumbo,,2
https://www.splacer.co/venue/soho-elegant-rooftop,Soho Elegant Rooftop New York | ManhattanStarting From$800per hour,Diana,New York | Manhattan,,2
https://www.splacer.co/venue/historic-urban-glamour-in-the-heart-bk,Historic Urban Glamour In the Heart BKNew York | Park SlopeStarting From$200per hour,N.Danielle,New York | Park Slope,,2
https://www.splacer.co/venue/spectacular-brooklyn-townhouse,Spectacular Brooklyn Townhouse New York | Bedford-StuyvesantStarting From$400per hour,Tatiana,New York | Bedford-Stuyvesant,,2
https://www.splacer.co/venue/spacious-brooklyn-gym,Spacious Brooklyn GymNew York | GreenpointStarting From$350per hour,WillyB,New York | Greenpoint,,0
https://www.splacer.co/venue/designer-soho-loft-space?sponsored=true,Designer Soho Loft SpaceNew York | Lower ManhattanStarting From$350per hour,Arzu,New York | Lower Manhattan,,5
https://www.splacer.co/venue/gallery-store-front-in-prime-williamsburg?sponsored=true,Gallery Store front in Prime WilliamsburgNew York | ManhattanStarting From$144per hour,Pini,New York | Manhattan,,0
https://www.splacer.co/venue/large-white-venue-table-chairs-sound-incl?sponsored=true,Large White Venue Table Chairs Sound Incl.New York | Carroll GardensStarting From$100per hour,Michael,New York | Carroll Gardens,,0
https://www.splacer.co/venue/large-film-studio-in-brooklyn-ny,"Large Film Studio in Brooklyn, NY.New York | East WilliamsburgStarting From$350per hour",Lytehouse,New York | East Williamsburg,,0
https://www.splacer.co/venue/italian-marble,Italian MarbleNew York | Midtown WestStarting From$661per hour,Mikael,New York | Midtown West,,0
https://www.splacer.co/venue/production-loft,Production LoftNew York | ManhattanStarting From$75per hour,Nick,New York | Manhattan,,1
https://www.splacer.co/venue/transformative-white-box-venue-roof-top, Transformative White Box Venue + Roof TopNew York | ManhattanStarting From$4748per hour,Leha,New York | Manhattan,,0
https://www.splacer.co/venue/bright-multifunctional-studio-with-pantry,Bright Multifunctional Studio with PantryNew York | Lower ManhattanStarting From$250per hour,Teresa,New York | Lower Manhattan,,0
https://www.splacer.co/venue/the-chelsea-grand-hall,The Chelsea Grand HallNew York | MidtownStarting From$400per hour,Joseph,New York | Midtown,,0
https://www.splacer.co/venue/sunny-high-ceiling-loft,Sunny High Ceiling Loft New York | FlushingStarting From$55per hour,Majo,New York | Flushing,,0
https://www.splacer.co/venue/unique-soho-corner-light-filled-loft,Unique SOHO corner light-filled loftNew York | ManhattanStarting From$225per hour,Jane,New York | Manhattan,,0
https://www.splacer.co/venue/classic-flatiron-chelsea-event-hall,Classic Flatiron/Chelsea Event HallNew York | MidtownStarting From$430per hour,Tod,New York | Midtown,,1
https://www.splacer.co/venue/loft-in-meatpacking-district,Loft in Meatpacking DistrictNew York | ManhattanStarting From$750per hour,HAUS,New York | Manhattan,,0
https://www.splacer.co/venue/spacious-loft-located-in-tribeca,Spacious Loft Located in TriBeCaNew York | ManhattanStarting From$300per hour,Victor,New York | Manhattan,,0
https://www.splacer.co/venue/modern-attractive-spaces-in-midtown,Modern Attractive Spaces in MidtownNew York | ManhattanStarting From$115per hour,Mandy,New York | Manhattan,,0
https://www.splacer.co/venue/midtown-manhattan-bright-studio-w-rooftop,Midtown Manhattan bright studio w rooftopNew York | ManhattanStarting From$100per hour,Sanja,New York | Manhattan,,0
https://www.splacer.co/venue/cozy-astoria-lounge,Cozy Astoria Lounge New York | Long Island CityStarting From$150per hour,Angelo,New York | Long Island City,,1
https://www.splacer.co/venue/the-perfect-empty-space,The perfect empty space!New York | Upper East SideStarting From$200per hour,Liat,New York | Upper East Side,,0
https://www.splacer.co/venue/domespace,DomespaceNew PaltzStarting From$288per hour,Veronique,New Paltz,,0
https://www.splacer.co/venue/sunny-skylight-loft-duplex-23-ft-high,"Sunny Skylight Loft duplex: 23"" ft highNew York | ManhattanStarting From$500per hour",Roberta,New York | Manhattan,,0
https://www.splacer.co/venue/brooklyn-venue-for-all-occasions,Brooklyn Venue for all occasions.New York | FlatbushStarting From$180per hour,samantha,New York | Flatbush,,0
https://www.splacer.co/venue/spacious-newly-renovated-venue-in-astoria,Spacious Newly Renovated Venue in Astoria New York | Long Island CityStarting From$150per hour,Dorissa,New York | Long Island City,,1
https://www.splacer.co/venue/outdoor-sports-and-recreation-facility,Outdoor Sports and Recreation FacilityStony PointStarting From$1600per hour,Dan,Stony Point,,0
https://www.splacer.co/venue/rustic-brooklyn-restaurant,Rustic Brooklyn RestaurantNew York | Boerum HillStarting From$1150per hour,Julian,New York | Boerum Hill,,0
https://www.splacer.co/venue/sunny-brooklyn-loft-with-natural-light,Sunny Brooklyn Loft With Natural Light New York | Bedford-StuyvesantStarting From$75per hour,Vadim,New York | Bedford-Stuyvesant,,0
https://www.splacer.co/venue/event-space-overlooking-rockefeller-plaza,Event Space overlooking Rockefeller PlazaNew York | ManhattanStarting From$50per hour,Taylor,New York | Manhattan,,0
https://www.splacer.co/venue/spacious-urban-greenpoint-studio,Spacious Urban Greenpoint Studio New York | GreenpointStarting From$150per hour,Jacqueline,New York | Greenpoint,,0
https://www.splacer.co/venue/greenwhich-apartment-for-any-production,Greenwhich apartment for any production!New York | ManhattanStarting From$149per hour,Grant,New York | Manhattan,,1
https://www.splacer.co/venue/classic-soho-studio-with-art-deco-window,Classic SOHO studio with Art Deco windowNew York | ManhattanStarting From$125per hour,Tara,New York | Manhattan,,0
https://www.splacer.co/venue/multi-purpose-spacious-studio-in-nyc,Multi-Purpose Spacious Studio in NYCNew York | MidtownStarting From$80per hour,ILRAE,New York | Midtown,,0
https://www.splacer.co/venue/refined-coworking-and-event-space,Refined coworking and event spaceNew York | Lower ManhattanStarting From$150per hour,Melanie,New York | Lower Manhattan,,1
https://www.splacer.co/venue/midtown-creative-meeting-event-space,Midtown Creative Meeting & Event Space New York | ManhattanStarting From$100per hour,Roberto,New York | Manhattan,,0
https://www.splacer.co/venue/newly-remodeled-duplex-event-space,Newly Remodeled Duplex Event Space New York | BelmontStarting From$200per hour,Jason,New York | Belmont,,0
https://www.splacer.co/venue/soho-landmark-art-clubhouse-with-deck?sponsored=true,Soho Landmark Art Clubhouse with DeckNew York | ManhattanStarting From$115per hour,Laura,New York | Manhattan,,0
https://www.splacer.co/venue/greenscreen-studio-photo-video-livestream,Greenscreen Studio: Photo/Video/LivestreamNew York | GreenpointStarting From$250per hour,Tim,New York | Greenpoint,,0
https://www.splacer.co/venue/williamsburg-apothecary-restaurant,Williamsburg Apothecary & Restaurant New York | WilliamsburgStarting From$173per hour,Julia,New York | Williamsburg,,1
https://www.splacer.co/venue/bright-designer-loft-with-staging-kitchen,Bright Designer Loft with Staging KitchenNew York | Lower ManhattanStarting From$385per hour,Teresa,New York | Lower Manhattan,,0
https://www.splacer.co/venue/boutique-espresso-bar,Boutique Espresso Bar New York | Crown HeightsStarting From$460per hour,Michael,New York | Crown Heights,,0
https://www.splacer.co/venue/blank-canvas-with-clean-white-walls,Blank Canvas with clean white walls! New York | East New YorkStarting From$75per hour,Vermarie,New York | East New York,,0
https://www.splacer.co/venue/large-white-venue-table-chairs-sound-incl,Large White Venue Table Chairs Sound Incl.New York | Carroll GardensStarting From$100per hour,Michael,New York | Carroll Gardens,,0
https://www.splacer.co/venue/japanese-cat-cafe-purrfect-for-parties,"Japanese cat cafe, purrfect for parties!New York | ManhattanStarting From$600per hour",Joe,New York | Manhattan,,0
https://www.splacer.co/venue/massive-loft-with-exposed-brick-beams,Massive loft with exposed brick / beamsNew York | Brooklyn HeightsStarting From$180per hour,Steve,New York | Brooklyn Heights,,2
https://www.splacer.co/venue/spacious-private-yoga-dance-studio,Spacious Private Yoga/Dance StudioNew York | ManhattanStarting From$60per hour,Julia,New York | Manhattan,,0
https://www.splacer.co/venue/sunny-soho-loft,sunny Soho loftNew York | Lower ManhattanStarting From$800per hour,Georgia,New York | Lower Manhattan,,0
https://www.splacer.co/venue/rockwellian-dreamscape-with-pool,Rockwellian dreamscape with pool MontgomeryStarting From$400per hour,Eduard,Montgomery,,3
https://www.splacer.co/venue/drive-in-production-studio,Drive-in Production StudioNew York | JamaicaStarting From$50per hour,Popular,New York | Jamaica,,1
https://www.splacer.co/venue/spacious-multi-purpose-all-white-canvas,Spacious Multi-Purpose All-White CanvasNew York | Bedford-StuyvesantStarting From$175per hour,Brian,New York | Bedford-Stuyvesant,,0
https://www.splacer.co/venue/sunny-landscaped-chelsea-rooftop,Sunny Landscaped Chelsea RooftopNew York | MidtownStarting From$1500per hour,Sarah,New York | Midtown,,0
https://www.splacer.co/venue/mediumplex-greenpoint-studio,Mediumplex Greenpoint StudioNew York | GreenpointStarting From$125per hour,Ryan,New York | Greenpoint,,0
https://www.splacer.co/venue/white-blank-space-in-the-heart-of-chelsea,White Blank Space in the Heart of ChelseaNew York | ManhattanStarting From$1000per hour,Isabelle,New York | Manhattan,,0
https://www.splacer.co/venue/spacious-open-studio-with-outdoor-patio,Spacious Open Studio with Outdoor PatioNew York | WilliamsburgStarting From$375per hour,Samantha,New York | Williamsburg,,0
https://www.splacer.co/venue/versatile-storefront-event-space-with-back,Versatile Storefront Event Space with BackNew York | Crown HeightsStarting From$50per hour,Dyme,New York | Crown Heights,,0
https://www.splacer.co/venue/spacious-fresh-loft-in-soho,Spacious & Fresh Loft in SoHoNew York | ManhattanStarting From$75per hour,Jay,New York | Manhattan,,0
https://www.splacer.co/venue/fulton-800-sq-ft,Fulton - 800 Sq FtNew York | Lower ManhattanStarting From$75per hour,Fulton,New York | Lower Manhattan,,0
https://www.splacer.co/venue/airy-artist-studio-with-dramatic-ceilings,Airy Artist Studio with Dramatic CeilingsNew York | Lower ManhattanStarting From$250per hour,Teresa,New York | Lower Manhattan,,0
https://www.splacer.co/venue/multi-studio,Multi StudioNew York | AstoriaStarting From$125per hour,Manuel,New York | Astoria,,0
https://www.splacer.co/venue/modern-downtown-fitness-studio,Modern Downtown Fitness Studio New York | ManhattanStarting From$75per hour,Angie,New York | Manhattan,,0
https://www.splacer.co/venue/lower-east-side-gallery-space,Lower East Side Gallery SpaceNew York | ManhattanStarting From$300per hour,Garrett,New York | Manhattan,,0
https://www.splacer.co/venue/brooklyn-based-venue-bar-and-event-space,"Brooklyn based Venue, Bar and Event SpaceNew York | WilliamsburgStarting From$1000per hour",Mike,New York | Williamsburg,,0
https://www.splacer.co/venue/the-warehouse-massive-raw-open-space,"The Warehouse: Massive, raw open space!New York | GreenpointStarting From$400per hour",Alexandra,New York | Greenpoint,,0
https://www.splacer.co/venue/sunny-event-retail-space-in-the-les,Sunny Event / Retail Space in the LESNew York | Lower East SideStarting From$250per hour,Phil,New York | Lower East Side,,0
https://www.splacer.co/venue/sunny-and-private-rooftop-sundeck-in-the-h,Sunny and Private Rooftop Sundeck in the hNew York | ManhattanStarting From$249per hour,Itay,New York | Manhattan,,0
https://www.splacer.co/venue/loft-with-chef-s-kitchen-in-little-italy,Loft with Chef's Kitchen in Little Italy New York | ManhattanStarting From$300per hour,Miette,New York | Manhattan,,1
https://www.splacer.co/venue/dramatic-loft-with-natural-light-and-outdoor-space,Dramatic Loft with Natural Light and Outdoor SpaceNew York | ManhattanStarting From$325per hour,clara,New York | Manhattan,,1
